code,name,name_normalized,sector_slug
24421010,Ingenieros en Electrónica Aeronáutica,ingenieros en electronica aeronautica,tech
24421029,Ingenieros en Electrónica de Automoción,ingenieros en electronica de automocion,tech
24421038,Ingenieros en Electrónica Industrial,ingenieros en electronica industrial,tech
24421047,"Ingenieros en Electrónica, en General","ingenieros en electronica, en general",tech
24421056,Ingenieros y/o Similares en Electrónica Naval,ingenieros y/o similares en electronica naval,tech
24431013,Ingenieros de Telecomunicaciones de Imagen y Sonido,ingenieros de telecomunicaciones de imagen y sonido,tech
24431022,Ingenieros en Telecomunicaciones,ingenieros en telecomunicaciones,tech
24511016,Arquitectos,arquitectos,tech
24521019,Arquitectos Paisajistas,arquitectos paisajistas,tech
24531012,Ingenieros Planificadores de Tráfico,ingenieros planificadores de trafico,tech
24531021,Urbanistas,urbanistas,tech
24541015,Profesionales de la Cartografía,profesionales de la cartografia,tech
24611015,Ingenieros Técnicos de Calidad,ingenieros tecnicos de calidad,tech
24611024,Ingenieros Técnicos de Fabricación o Planta,ingenieros tecnicos de fabricacion o planta,tech
24611033,Ingenieros Técnicos de Materiales,ingenieros tecnicos de materiales,tech
24611042,Ingenieros Técnicos de Planificación y Producción,ingenieros tecnicos de planificacion y produccion,tech
24611051,Ingenieros Técnicos de Procesos,ingenieros tecnicos de procesos,tech
24611060,Ingenieros Técnicos de Producto,ingenieros tecnicos de producto,tech
24611071,Ingenieros Técnicos de Proyectos,ingenieros tecnicos de proyectos,tech
24621018,Ingenieros Técnicos en Construcción y Obra Civil,ingenieros tecnicos en construccion y obra civil,tech
24631011,Ingenieros Técnicos en Mecánica (Técnicas Energéticas),ingenieros tecnicos en mecanica (tecnicas energeticas),tech
24631020,Ingenieros Técnicos en Mecánica de Minas,ingenieros tecnicos en mecanica de minas,tech
24631039,Ingenieros Técnicos en Mecánica Industrial,ingenieros tecnicos en mecanica industrial,tech
24631048,"Ingenieros Técnicos en Mecánica, en General","ingenieros tecnicos en mecanica, en general",tech
24631057,Ingenieros Técnicos Mecánica Automoción,ingenieros tecnicos mecanica automocion,tech
24641014,Ingenieros Técnicos Aeronáuticos,ingenieros tecnicos aeronauticos,tech
24641023,Ingenieros Técnicos Navales,ingenieros tecnicos navales,tech
24651017,Ingenieros Técnico en Química,ingenieros tecnico en quimica,tech
24661010,Ingenieros Técnicos de Minas,ingenieros tecnicos de minas,tech
24661029,Ingenieros Técnicos en Combustible y Energía,ingenieros tecnicos en combustible y energia,tech
24661038,Ingenieros Técnicos en Metalurgia,ingenieros tecnicos en metalurgia,tech
24691019,Ingenieros Técnico Papelero,ingenieros tecnico papelero,tech
24691028,Ingenieros Técnicos de Diseño,ingenieros tecnicos de diseno,tech
24691037,Ingenieros Técnicos de Instalaciones,ingenieros tecnicos de instalaciones,tech
24691046,Ingenieros Técnicos de Investigación y Desarrollo,ingenieros tecnicos de investigacion y desarrollo,tech
24691055,Ingenieros Técnicos de Logística,ingenieros tecnicos de logistica,tech
24691064,Ingenieros Técnicos de Mantenimiento y Reparación,ingenieros tecnicos de mantenimiento y reparacion,tech
24691073,Ingenieros Técnicos de Montaje,ingenieros tecnicos de montaje,tech
24691082,Ingenieros Técnicos de Seguridad,ingenieros tecnicos de seguridad,tech
24691091,Ingenieros Técnicos de Servicios,ingenieros tecnicos de servicios,tech
24691103,Ingenieros Técnicos Medioambientales,ingenieros tecnicos medioambientales,tech
